series,title,year,release,rated,runtime,action,adventure,thriller,documentary,crime,drama,fantasy,horror,scifi,war,comedy,family,mystery,romance,animation,music,biography,history,short,western,language,inEnglish,country,isUSA,awards,wins,nominations,imdbRating,metascore,rottenscore,imdbVote,imdbID,domestic,Domestic Lifetime,Foreign,Worldwide,Adj Factor,Adj Factor Lifetime,plot,title2,year2,release2,rated2,runtime2,action2,adventure2,thriller2,documentary2,crime2,drama2,fantasy2,horror2,scifi2,war2,comedy2,family2,mystery2,romance2,animation2,music2,biography2,history2,short2,western2,language2,inEnglish2,country2,isUSA2,awards2,wins2,nominations,imdbRating2,metascore2,rottenscore2,imdbVote2,imdbID2,production.budget2,domestic2,Domestic Lifetime2,Foreign2,Worldwide2,AdjFactor2,AdjFactor Lifetime2,plot2,yearDiff,ratedDiff,actionDiff,adventureDiff,crimeDiff,dramaDiff,thrillerDiff,fantasyDiff,horrorDiff,scifiDiff,warDiff,comedyDiff,familyDiff,mysteryDiff,animationDiff,musicDiff,biographyDiff,historyDiff,documentaryDiff,shortDiff,westernDiff,languageDiff,isEnglishDiff,countryDiff,isUSADiff,winsDiff,nominationDiff,metascoreDiff,imdbratingDiff,imdbvoteDiff,productionBudgetDiff,domesticDiff,foreignDiff,worldDiff,RateGr,RateGr2,Rev1,Rev2,ReleaseDiff,production.budget,seriesNo
Rush Hour,Rush Hour,1998,9/18/98,PG-13,98,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Cantonese, Mandarin",TRUE,USA,TRUE,6 wins & 9 nominations.,6,9,7,60,60,224610,tt0120812,248000000,2.48E+08,1.81E+08,4.29E+08,1.756998,1.756998,"A loyal and dedicated Hong Kong Inspector teams up with a reckless and loudmouthed L.A.P.D. detective to rescue the Chinese Consul's kidnapped daughter, while trying to arrest a dangerous crime lord along the way.",Rush Hour 2,2001,8/3/01,PG-13,90,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Mandarin, Cantonese",TRUE,"Hong Kong, USA",TRUE,10 wins & 22 nominations.,10,22,6.6,48,52,189494,tt0266915,132000000,332000000,3.32E+08,1.78E+08,5.09E+08,1.466431,1.466431,"Carter and Lee head to Hong Kong for a vacation, but become embroiled in a counterfeit money scam.",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,-39,-43,-12,-0.4,-35116,-57980903,-247999877,-3.00E+06,-428999837,"(6.7,7.5]","(5.9,6.7]","(2e+08,3e+08]","(3e+08,4e+08]",1050,57980925,2
Rush Hour,Rush Hour 2,2001,8/3/01,PG-13,90,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Mandarin, Cantonese",TRUE,"Hong Kong, USA",TRUE,10 wins & 22 nominations.,10,22,6.6,48,52,189494,tt0266915,332000000,3.32E+08,1.78E+08,5.09E+08,1.466431,1.466431,"Carter and Lee head to Hong Kong for a vacation, but become embroiled in a counterfeit money scam.",Rush Hour 3,2007,8/10/07,PG-13,91,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, French, Japanese, Mandarin, Latin",TRUE,"USA, Germany",TRUE,9 nominations.,0,9,6.2,44,18,144952,tt0293564,169000000,169000000,1.69E+08,1.42E+08,3.11E+08,1.206395,1.206395,"After an attempted assassination on Ambassador Han, Lee and Carter head to Paris to protect a French woman with knowledge of the Triads' secret leaders.",6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,-2,46,-4,-0.4,-44542,-131999957,-331999962,-3.60E+07,-508999889,"(5.9,6.7]","(5.9,6.7]","(3e+08,4e+08]","(1e+08,2e+08]",2198,1.32E+08,3
Saw,Saw,2004,10/29/04,R,103,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,8 wins & 10 nominations.,8,10,7.6,46,49,359174,tt0387564,73757800,74847525,64036046,1.39E+08,1.336554,1.33205,"Two strangers, who awaken in a room with no recollection of how they got there, soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.",Saw II,2005,10/28/05,R,93,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"USA, Canada",TRUE,4 wins & 8 nominations.,4,8,6.6,40,37,222061,tt0432348,5179317,113000000,1.13E+08,78607198,1.91E+08,1.294829,1.294829,A detective and his team must rescue 8 people trapped in a factory by the twisted serial killer known as Jigsaw.,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,-18,60,-6,-1,-137113,-1603727,-73757791,14571152,-138999931,"(7.5,10]","(5.9,6.7]","(0,1e+08]","(1e+08,2e+08]",364,1603865,2
Saw,Saw II,2005,10/28/05,R,93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"USA, Canada",TRUE,4 wins & 8 nominations.,4,8,6.6,40,37,222061,tt0432348,113000000,1.13E+08,78607198,1.91E+08,1.294829,1.294829,A detective and his team must rescue 8 people trapped in a factory by the twisted serial killer known as Jigsaw.,Saw III,2006,10/27/06,R,108,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"USA, Canada",TRUE,1 win & 5 nominations.,1,5,6.2,48,28,169719,tt0489270,12671762,102000000,1.02E+08,1.07E+08,2.09E+08,1.267176,1.267176,Jigsaw abducts a doctor in order to keep himself alive while he watches his new apprentice put an unlucky citizen named Jeff through a brutal test.,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-33,-16,8,-0.4,-52342,-5179253,-112999998,28392802,-190999920,"(5.9,6.7]","(5.9,6.7]","(1e+08,2e+08]","(1e+08,2e+08]",364,5179317,3
Saw,Saw III,2006,10/27/06,R,108,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"USA, Canada",TRUE,1 win & 5 nominations.,1,5,6.2,48,28,169719,tt0489270,102000000,1.02E+08,1.07E+08,2.09E+08,1.267176,1.267176,Jigsaw abducts a doctor in order to keep himself alive while he watches his new apprentice put an unlucky citizen named Jeff through a brutal test.,Saw IV,2007,10/26/07,R,93,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"USA, Canada",TRUE,2 wins & 6 nominations.,2,6,5.9,36,19,133492,tt0890870,-999,76364900,76364900,91749380,1.68E+08,1.206395,1.206395,"Despite Jigsaw's death, and in order to save the lives of two of his colleagues, Lieutenant Rigg is forced to take part in a new game, which promises to test him to the limit.",1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,13,9,-12,-0.3,-36227,-12671760,-101999766,-15250620,-208999946,"(5.9,6.7]","(5.1,5.9]","(1e+08,2e+08]","(0,1e+08]",364,12671762,4
Saw,Saw IV,2007,10/26/07,R,93,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"USA, Canada",TRUE,2 wins & 6 nominations.,2,6,5.9,36,19,133492,tt0890870,76364900,76364900,91749380,1.68E+08,1.206395,1.206395,"Despite Jigsaw's death, and in order to save the lives of two of his colleagues, Lieutenant Rigg is forced to take part in a new game, which promises to test him to the limit.",Saw V,2008,10/24/08,R,92,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"USA, Canada",TRUE,1 win & 1 nomination.,1,1,5.8,20,13,109185,tt1132626,12484673,65598600,65598600,66026918,1.32E+08,1.155988,1.155988,"Following Jigsaw's grisly demise, Mark Hoffman is commended as a hero, but Agent Strahm is suspicious, and delves into Hoffman's past. Meanwhile, another group of people are put through a series of gruesome tests.",1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-14,-52,-16,-0.1,-24307,1062,-76364682,-25722462,-167999965,"(5.1,5.9]","(5.1,5.9]","(0,1e+08]","(0,1e+08]",364,-999,5
Saw,Saw V,2008,10/24/08,R,92,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"USA, Canada",TRUE,1 win & 1 nomination.,1,1,5.8,20,13,109185,tt1132626,65598600,65598600,66026918,1.32E+08,1.155988,1.155988,"Following Jigsaw's grisly demise, Mark Hoffman is commended as a hero, but Agent Strahm is suspicious, and delves into Hoffman's past. Meanwhile, another group of people are put through a series of gruesome tests.",Saw VI,2009,10/23/09,R,90,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"Canada, USA, UK, Australia",TRUE,2 nominations.,0,2,6,30,39,95719,tt1233227,11997353,30204200,30204200,44216067,74420267,1.090668,1.090668,"Agent Strahm is dead, and FBI agent Erickson draws nearer to Hoffman. Meanwhile, a pair of insurance executives find themselves in another game set by Jigsaw.",1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,-1,17,10,0.2,-13466,-12484612,-65598463,-21810851,-131999777,"(5.1,5.9]","(5.9,6.7]","(0,1e+08]","(0,1e+08]",364,12484673,6
Saw,Saw VI,2009,10/23/09,R,90,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"Canada, USA, UK, Australia",TRUE,2 nominations.,0,2,6,30,39,95719,tt1233227,30204200,30204200,44216067,74420267,1.090668,1.090668,"Agent Strahm is dead, and FBI agent Erickson draws nearer to Hoffman. Meanwhile, a pair of insurance executives find themselves in another game set by Jigsaw.",Saw: The Final Chapter,2010,10/29/10,R,90,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"Canada, USA",TRUE,3 nominations.,0,3,5.6,24,10,84981,tt1477076,20880514,47722600,47722600,94421950,1.42E+08,1.044026,1.044026,"As a deadly battle rages over Jigsaw's brutal legacy, a group of Jigsaw survivors gathers to seek the support of self-help guru and fellow survivor Bobby Dagen, a man whose own dark secrets unleash a new wave of terror.",1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0,11,-6,-0.4,-10738,-11997257,-30204021,50205883,-74420226,"(5.9,6.7]","(5.1,5.9]","(0,1e+08]","(0,1e+08]",371,11997353,7
Scary Movie,Scary Movie,2000,7/7/00,R,88,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,7 wins & 5 nominations.,7,5,6.2,48,53,220107,tt0175142,242000000,2.42E+08,1.86E+08,4.28E+08,1.539889,1.539889,"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.",Scary Movie 2,2001,7/4/01,R,83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"USA, Canada",TRUE,3 wins & 4 nominations.,2,4,5.3,29,15,142046,tt0257106,65989380,105000000,1.05E+08,1.03E+08,2.07E+08,1.466431,1.466431,Four teens are tricked by their professor into visiting a haunted house for a school project.,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,-29,-9,-19,-0.9,-78061,-29257733,-241999997,-8.30E+07,-427999922,"(5.9,6.7]","(5.1,5.9]","(2e+08,3e+08]","(1e+08,2e+08]",362,29257889,2
Scary Movie,Scary Movie 2,2001,7/4/01,R,83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"USA, Canada",TRUE,3 wins & 4 nominations.,3,4,5.3,29,15,142046,tt0257106,105000000,1.05E+08,1.03E+08,2.07E+08,1.466431,1.466431,Four teens are tricked by their professor into visiting a haunted house for a school project.,Scary Movie 3,2003,10/24/03,PG-13,84,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"USA, Canada",TRUE,2 wins & 4 nominations.,2,4,5.5,49,35,130934,tt0306047,66054054,151000000,1.51E+08,1.52E+08,3.04E+08,1.376126,1.376126,"Cindy must investigate mysterious crop circles and video tapes, and help the President in preventing an alien invasion.",2,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-12,0,20,0.2,-11112,-65989223,-104999972,4.90E+07,-206999892,"(5.1,5.9]","(5.1,5.9]","(1e+08,2e+08]","(1e+08,2e+08]",842,65989380,3
Scary Movie,Scary Movie 3,2003,10/24/03,PG-13,84,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"USA, Canada",TRUE,2 wins & 4 nominations.,2,4,5.5,49,35,130934,tt0306047,151000000,1.51E+08,1.52E+08,3.04E+08,1.376126,1.376126,"Cindy must investigate mysterious crop circles and video tapes, and help the President in preventing an alien invasion.",Scary Movie 4,2006,4/14/06,PG-13,83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Japanese",TRUE,USA,TRUE,1 win & 3 nominations.,1,3,5,40,35,108749,tt0362120,57022910,115000000,1.15E+08,1.11E+08,2.26E+08,1.267176,1.267176,"Cindy finds out the house she lives in is haunted by a little boy and goes on a quest to find out who killed him and why. Also, Alien """"""""Tr-iPods"""""""" are invading the world and she has to uncover the secret in order to stop them.",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,-14,-9,-9,-0.5,-22185,-66053906,-150999989,-4.10E+07,-303999912,"(5.1,5.9]","(0,5.1]","(1e+08,2e+08]","(1e+08,2e+08]",903,66054054,4
Scary Movie,Scary Movie 4,2006,4/14/06,PG-13,83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Japanese",TRUE,USA,TRUE,1 win & 3 nominations.,1,3,5,40,35,108749,tt0362120,115000000,1.15E+08,1.11E+08,2.26E+08,1.267176,1.267176,"Cindy finds out the house she lives in is haunted by a little boy and goes on a quest to find out who killed him and why. Also, Alien """"""""Tr-iPods"""""""" are invading the world and she has to uncover the secret in order to stop them.",Scary Movie 5,2013,4/12/13,PG-13,86,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Spanish, Latin",TRUE,USA,TRUE,5 nominations.,0,5,3.5,11,4,61643,tt0795461,19809040,31710100,31710100,45920283,77630383,0.990452,0.990452,"A couple begin to experience some unusual activity after bringing their lost nieces and nephew home. With the help of home-surveillance cameras, they learn they're being stalked by a nefarious demon.",7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,-1,19,-29,-1.5,-47106,-57022841,-114999862,-65079717,-225999773,"(0,5.1]","(0,5.1]","(1e+08,2e+08]","(0,1e+08]",2555,57022910,5
Scooby-Doo,Scooby-Doo,2002,6/14/02,PG,86,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"USA, Australia",TRUE,5 wins & 14 nominations.,5,14,5,35,30,90219,tt0267913,219000000,2.19E+08,1.75E+08,3.94E+08,1.428572,1.428572,"After an acrimonious break up, the Mystery Inc. gang are individually brought to an island resort to investigate strange goings on.",Scooby-Doo 2: Monsters Unleashed,2004,3/26/04,PG,93,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"USA, Canada",TRUE,1 win & 4 nominations.,1,4,5,34,22,44197,tt0331632,-999,113000000,1.13E+08,1.30E+08,2.43E+08,1.336553,1.336553,"The Mystery Inc. gang must save Coolsville from an attack of past unmasked monsters brought to life by an evil masked figure trying to """"""""unmask"""""""" the gang.",2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,-35,27,-1,0,-46022,-119999998,-218999991,-4.50E+07,-393999909,"(0,5.1]","(0,5.1]","(2e+08,3e+08]","(1e+08,2e+08]",651,1.20E+08,2
Scream,Scream,1996,12/20/96,R,111,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,7 wins & 9 nominations.,7,9,7.2,65,79,269180,tt0117571,187000000,1.87E+08,1.27E+08,3.14E+08,1.816497,1.816497,"A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game.",Scream 2,1997,12/12/97,R,120,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,5 wins & 11 nominations.,5,11,6.2,63,82,148325,tt0120082,43039482,182000000,1.82E+08,1.27E+08,3.09E+08,1.793312,1.793312,"Two years after the first series of murders, as Sydney acclimates to college life, someone donning the Ghostface costume begins a new string of killings.",1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-14,-60,-2,-1,-120855,-25430835,-186999955,0,-313999890,"(6.7,7.5]","(5.9,6.7]","(1e+08,2e+08]","(1e+08,2e+08]",357,25430964,2
Scream,Scream 2,1997,12/12/97,R,120,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,5 wins & 11 nominations.,5,11,6.2,63,82,148325,tt0120082,182000000,1.82E+08,1.27E+08,3.09E+08,1.793312,1.793312,"Two years after the first series of murders, as Sydney acclimates to college life, someone donning the Ghostface costume begins a new string of killings.",Scream 3,2000,2/4/00,R,116,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,5 wins & 5 nominations.,5,5,5.5,56,39,117475,tt0134084,61595562,137000000,1.37E+08,1.12E+08,2.49E+08,1.539889,1.539889,"While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them.",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-7,43,-7,-0.7,-30850,-43039329,-181999980,-1.50E+07,-308999908,"(5.9,6.7]","(5.1,5.9]","(1e+08,2e+08]","(1e+08,2e+08]",784,43039482,3
Scream,Scream 3,2000,2/4/00,R,116,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,5 wins & 5 nominations.,5,5,5.5,56,39,117475,tt0134084,137000000,1.37E+08,1.12E+08,2.49E+08,1.539889,1.539889,"While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them.",Scream 4,2011,4/15/11,R,111,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,1 win & 6 nominations.,1,6,6.1,52,60,121327,tt1262416,41191037,39317800,39317800,60713279,1.00E+08,1.029776,1.029776,"Ten years have passed, and Sidney Prescott, who has put herself back together thanks in part to her writing, is visited by the Ghostface Killer.",11,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-35,9,-4,0.6,3852,-61595438,-136999850,-51286721,-248999998,"(5.1,5.9]","(5.9,6.7]","(1e+08,2e+08]","(0,1e+08]",4088,61595562,4
Sex and the City,Sex and the City,2008,5/30/08,R,145,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,2 wins & 12 nominations.,2,12,5.6,53,49,111832,tt1000774,176000000,1.76E+08,3.04E+08,4.80E+08,1.155989,1.155989,A New York City writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.,Sex and the City 2,2010,5/27/10,R,146,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Arabic",TRUE,USA,TRUE,8 wins & 9 nominations.,8,9,4.5,27,15,70720,tt1261945,104000000,99545400,99545400,2.01E+08,3.01E+08,1.044025,1.044025,"While wrestling with the pressures of life, love, and work in Manhattan, Carrie, Miranda, and Charlotte join Samantha for a trip to Abu Dhabi (United Arab Emirates), where Samantha's ex is filming a new movie.",2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,20,60,-26,-1.1,-41112,-75139256,-175999745,-1.03E+08,-479999893,"(5.1,5.9]","(0,5.1]","(1e+08,2e+08]","(0,1e+08]",727,75139263,2
