series,title,year,release,rated,runtime,action,adventure,crime,drama,fantasy,thriller,documentary,horror,scifi,war,comedy,family,mystery,romance,animation,music,biography,history,short,western,language,inEnglish,country,isUSA,awards,wins,nominations,imdbRating,metascore,rottenscore,imdbVote,plot,production.budget,domestic,boxoffice,title2,year2,release2,rated2,runtime2,action2,adventure2,crime2,drama2,fantasy2,thriller2,documentary2,horror2,scifi2,war2,comedy2,family2,mystery2,romance2,animation2,music2,biography2,history2,short2,western2,language2,inEnglish2,country2,isUSA2,awards2,wins2,nominations2,imdbRating2,metascore2,rottenscore2,imdbVote2,plot2,production.budget2,domestic2,boxoffice2
Scary Movie,Scary Movie 3,2003,10/24/2003,PG-13,84,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"USA, Canada",TRUE,2 wins & 4 nominations.,2,4,5.5,49,35,130934,"Cindy must investigate mysterious crop circles and video tapes, and help the President in preventing an alien invasion.",66054054,151000000,N/A,Scary Movie 4,2006,4/14/2006,PG-13,83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Japanese",TRUE,USA,TRUE,1 win & 3 nominations.,1,3,5,40,35,108749,"Cindy finds out the house she lives in is haunted by a little boy and goes on a quest to find out who killed him and why. Also, Alien ""Tr-iPods"" are invading the world and she has to uncover the secret in order to stop them.",57022910,115000000,90672025
Scary Movie,Scary Movie 4,2006,4/14/2006,PG-13,83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Japanese",TRUE,USA,TRUE,1 win & 3 nominations.,1,3,5,40,35,108749,"Cindy finds out the house she lives in is haunted by a little boy and goes on a quest to find out who killed him and why. Also, Alien ""Tr-iPods"" are invading the world and she has to uncover the secret in order to stop them.",57022910,115000000,90672025,Scary Movie 5,2013,4/12/2013,PG-13,86,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Spanish, Latin",TRUE,USA,TRUE,5 nominations.,0,5,3.5,11,4,61643,"A couple begin to experience some unusual activity after bringing their lost nieces and nephew home. With the help of home-surveillance cameras, they learn they're being stalked by a nefarious demon.",19809040,31710100,32014289
Scooby-Doo,Scooby-Doo,2002,6/14/2002,PG,86,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"USA, Australia",TRUE,5 wins & 14 nominations.,5,14,5,35,30,90219,"After an acrimonious break up, the Mystery Inc. gang are individually brought to an island resort to investigate strange goings on.",120000000,219000000,153300000,Scooby-Doo 2: Monsters Unleashed,2004,3/26/2004,PG,93,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"USA, Canada",TRUE,1 win & 4 nominations.,1,4,5,34,22,44197,"The Mystery Inc. gang must save Coolsville from an attack of past unmasked monsters brought to life by an evil masked figure trying to ""unmask"" the gang.",-999,113000000,84045006
Scream,Scream,1996,12/20/1996,R,111,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,7 wins & 9 nominations.,7,9,7.2,65,79,269180,"A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game.",25430964,187000000,N/A,Scream 2,1997,12/12/1997,R,120,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,5 wins & 11 nominations.,5,11,6.2,63,82,148325,"Two years after the first series of murders, as Sydney acclimates to college life, someone donning the Ghostface costume begins a new string of killings.",43039482,182000000,N/A
Scream,Scream 2,1997,12/12/1997,R,120,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,5 wins & 11 nominations.,5,11,6.2,63,82,148325,"Two years after the first series of murders, as Sydney acclimates to college life, someone donning the Ghostface costume begins a new string of killings.",43039482,182000000,N/A,Scream 3,2000,2/4/2000,R,116,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,5 wins & 5 nominations.,5,5,5.5,56,39,117475,"While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them.",61595562,137000000,N/A
Scream,Scream 3,2000,2/4/2000,R,116,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,5 wins & 5 nominations.,5,5,5.5,56,39,117475,"While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them.",61595562,137000000,N/A,Scream 4,2011,4/15/2011,R,111,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,1 win & 6 nominations.,1,6,6.1,52,60,121327,"Ten years have passed, and Sidney Prescott, who has put herself back together thanks in part to her writing, is visited by the Ghostface Killer.",41191037,39317800,38176892
Sex and the City,Sex and the City,2008,5/30/2008,R,145,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,2 wins & 12 nominations.,2,12,5.6,53,49,111832,A New York City writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.,75139263,176000000,152595674,Sex and the City 2,2010,5/27/2010,R,146,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Arabic",TRUE,USA,TRUE,8 wins & 9 nominations.,8,9,4.5,27,15,70720,"While wrestling with the pressures of life, love, and work in Manhattan, Carrie, Miranda, and Charlotte join Samantha for a trip to Abu Dhabi (United Arab Emirates), where Samantha's ex is filming a new movie.",104000000,99545400,95328937
Shanghai Noon,Shanghai Noon,2000,5/26/2000,PG-13,110,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"English, Mandarin, Sioux, Spanish",TRUE,"USA, Hong Kong",TRUE,1 win & 7 nominations.,1,7,6.5,77,79,113670,"A Chinese man travels to the Wild West to rescue a kidnapped Princess. After teaming up with a train robber, the unlikely duo takes on a Chinese traitor and his corrupt boss.",84693863,87677400,N/A,Shanghai Knights,2003,2/7/2003,PG-13,114,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Mandarin",TRUE,"USA, Hong Kong",TRUE,4 nominations.,0,4,6.2,58,66,95654,"When a Chinese rebel murders Chon's estranged father and escapes to England, Chon and Roy make their way to London with revenge on their minds.",68822508,83243400,60447592
Sherlock Holmes,Sherlock Holmes,2009,12/25/2009,PG-13,128,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, French",TRUE,"USA, Germany, UK",TRUE,Nominated for 2 Oscars. Another 10 wins & 27 nominations.,10,27,7.6,57,69,557029,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,96012863,223000000,208711166,Sherlock Holmes: A Game of Shadows,2011,12/16/2011,PG-13,129,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, French, Italian, German, Romany",TRUE,"USA, UK",TRUE,3 wins & 11 nominations.,3,11,7.5,48,60,400657,"Detective Sherlock Holmes is on the trail of criminal mastermind Professor Moriarty, who is carrying out a string of random crimes across Europe.",-999,197000000,186830669
Shrek,Shrek,2001,5/18/2001,PG,90,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,Won 1 Oscar. Another 36 wins & 60 nominations.,36,60,7.8,84,88,578020,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",87985867,393000000,266982666,Shrek 2,2004,5/19/2004,PG,93,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,Nominated for 2 Oscars. Another 18 wins & 50 nominations.,18,50,7.2,75,89,392363,Princess Fiona's parents invite her and Shrek to dinner to celebrate her marriage. If only they knew the newlyweds were both ogres.,200000000,590000000,436471036
Shrek,Shrek 2,2004,5/19/2004,PG,93,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,Nominated for 2 Oscars. Another 18 wins & 50 nominations.,18,50,7.2,75,89,392363,Princess Fiona's parents invite her and Shrek to dinner to celebrate her marriage. If only they knew the newlyweds were both ogres.,200000000,590000000,436471036,Shrek the Third,2007,5/18/2007,PG,93,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,Nominated for 1 BAFTA Film Award. Another 5 wins & 15 nominations.,5,15,6,58,41,262534,"When his new father-in-law, King Harold falls ill, Shrek is looked at as the heir to the land of Far, Far Away. Not one to give up his beloved swamp, Shrek recruits his friends Donkey and Puss in Boots to install the rebellious Artie as the new king. Princess Fiona, however, rallies a band of royal girlfriends to fend off a coup d'etat by the jilted Prince Charming.",193000000,389000000,320706665
Shrek,Shrek the Third,2007,5/18/2007,PG,93,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,Nominated for 1 BAFTA Film Award. Another 5 wins & 15 nominations.,5,15,6,58,41,262534,"When his new father-in-law, King Harold falls ill, Shrek is looked at as the heir to the land of Far, Far Away. Not one to give up his beloved swamp, Shrek recruits his friends Donkey and Puss in Boots to install the rebellious Artie as the new king. Princess Fiona, however, rallies a band of royal girlfriends to fend off a coup d'etat by the jilted Prince Charming.",193000000,389000000,320706665,Shrek Forever After,2010,5/21/2010,PG,93,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,1 win & 13 nominations.,1,13,6.3,58,58,171986,Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpel rules supreme.,172000000,249000000,238319043
Silent Hill,Silent Hill,2006,4/21/2006,R,125,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"Canada, France, Japan, USA",TRUE,8 nominations.,0,8,6.5,31,31,205735,"A woman, Rose, goes in search for her adopted daughter within the confines of a strange, desolate town called Silent Hill.",63358839,59535300,46982632,Silent Hill: Revelation,2012,10/26/2012,R,95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,"Canada, France, USA",TRUE,8 nominations.,0,8,5,16,10,57582,"When her adoptive father disappears, Sharon Da Silva is drawn into a strange and terrifying alternate reality that holds answers to the horrific nightmares that have plagued her since childhood.",21336793,18700800,17529157
Sin City,Sin City,2005,4/1/2005,R,124,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,34 wins & 52 nominations.,34,52,8,74,77,722511,"A film that explores the dark and miserable town, Basin City, and tells the story of three different people, all caught up in violent corruption.",51794091,95953500,N/A,Sin City: A Dame to Kill For,2014,8/22/2014,R,102,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,TRUE,USA,TRUE,3 wins & 6 nominations.,3,6,6.5,46,43,144439,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,-999,13708300,11064709
James Bond,Skyfall,2012,11/9/2012,PG-13,143,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Turkish, Shanghainese, Portuguese, Japanese",TRUE,"UK, USA",TRUE,Won 2 Oscars. Another 65 wins & 119 nominations.,65,119,7.7,81,92,599507,"Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",206000000,314000000,299300000,Spectre,2015,11/6/2015,PG-13,148,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"English, Spanish, Italian, German, French",TRUE,"UK, USA",TRUE,Won 1 Oscar. Another 7 wins & 32 nominations.,7,32,6.8,60,63,360260,"A cryptic message from James Bond's past sends him on a trail to uncover the exsistence of a sinister organisation named SPECTRE. With a new threat dawning, Bond learns the terrible truth about the author of all his pain in his most recent missions.",245000000,200074609,208777731
